Source,Year,Region,Species,avg_wt
R&I,2005,SPen,Pink,1.5622485835675861
R&I,2006,SPen,Pink,1.6393312797016308
R&I,2007,SPen,Pink,1.525433283621826
R&I,2008,SPen,Pink,1.5393953243317426
R&I,2009,SPen,Pink,1.3650302248844637
R&I,2010,SPen,Pink,1.628787330587933
R&I,2011,SPen,Pink,1.355345878084877
R&I,2012,SPen,Pink,1.7680554632397436
R&I,2013,SPen,Pink,1.2608706472945719
R&I,2014,SPen,Pink,1.5336952402589248
R&I,2015,SPen,Pink,1.503142319398715
R&I,1952,Kod,Pink,1.616267452062497
R&I,1953,Kod,Pink,1.613036188737087
R&I,1954,Kod,Pink,1.5915732523731816
R&I,1955,Kod,Pink,1.5916679674940928
R&I,1956,Kod,Pink,1.6327224396631195
R&I,1957,Kod,Pink,1.6022830387722216
R&I,1958,Kod,Pink,1.6413852649173692
R&I,1959,Kod,Pink,1.5915114153801204
R&I,1960,Kod,Pink,1.4718382235821825
R&I,1961,Kod,Pink,2.029644474678797
R&I,1962,Kod,Pink,1.3673223291505563
R&I,1963,Kod,Pink,1.720173630632778
R&I,1964,Kod,Pink,1.547075072424684
R&I,1965,Kod,Pink,1.553892998938196
R&I,1966,Kod,Pink,1.7277296051820925
R&I,1967,Kod,Pink,1.9703735442022206
R&I,1968,Kod,Pink,1.5202500657353475
R&I,1969,Kod,Pink,1.881750479015027
R&I,1970,Kod,Pink,1.6841944472692951
R&I,1971,Kod,Pink,1.6641715795492853
R&I,1972,Kod,Pink,1.9556638426556814
R&I,1973,Kod,Pink,1.7827023281982999
R&I,1974,Kod,Pink,1.9360083474542484
R&I,1975,Kod,Pink,1.9117772073703727
R&I,1976,Kod,Pink,1.865297362911523
R&I,1977,Kod,Pink,1.8981244399871895
R&I,1978,Kod,Pink,1.6457912160115284
R&I,1979,Kod,Pink,1.6632297914130079
R&I,1980,Kod,Pink,1.5016501170450884
R&I,1981,Kod,Pink,1.8140719848382338
R&I,1982,Kod,Pink,1.5669831620908692
R&I,1983,Kod,Pink,1.5275159369858595
R&I,1984,Kod,Pink,1.6688245962653643
R&I,1985,Kod,Pink,1.5927169987576484
R&I,1986,Kod,Pink,1.4381080942196882
R&I,1987,Kod,Pink,1.5795162064055948
R&I,1988,Kod,Pink,1.5744139558702348
R&I,1989,Kod,Pink,1.5449583015415853
R&I,1990,Kod,Pink,1.356746049714335
R&I,1991,Kod,Pink,1.1502838441538088
R&I,1992,Kod,Pink,1.5566129444374681
R&I,1993,Kod,Pink,1.2905916224344498
R&I,1994,Kod,Pink,1.418022438547648
R&I,1995,Kod,Pink,1.5720547761385848
R&I,1996,Kod,Pink,1.6201010708416277
R&I,1997,Kod,Pink,1.6709194237355525
R&I,1998,Kod,Pink,1.6545812636364081
R&I,1999,Kod,Pink,1.3422713577465537
R&I,2000,Kod,Pink,1.536931343317205
R&I,2001,Kod,Pink,1.5350349347480579
R&I,2002,Kod,Pink,1.574135368304555
R&I,2003,Kod,Pink,1.612187343074853
R&I,2004,Kod,Pink,1.675541552810167
R&I,2005,Kod,Pink,1.5622485835675861
R&I,2006,Kod,Pink,1.6393312797016308
R&I,2007,Kod,Pink,1.5254332836218258
R&I,2008,Kod,Pink,1.5393953243317429
R&I,2009,Kod,Pink,1.3650302248844637
R&I,2010,Kod,Pink,1.6287873305879332
R&I,2011,Kod,Pink,1.355345878084877
R&I,2012,Kod,Pink,1.7680554632397436
R&I,2013,Kod,Pink,1.2608706472945719
R&I,2014,Kod,Pink,1.5336952402589248
R&I,2015,Kod,Pink,1.5031423193987148
R&I,1952,CI,Pink,1.616267452062497
R&I,1953,CI,Pink,1.613036188737087
R&I,1954,CI,Pink,1.5915732523731814
R&I,1955,CI,Pink,1.591667967494093
R&I,1956,CI,Pink,1.6327224396631197
R&I,1957,CI,Pink,1.6022830387722213
R&I,1958,CI,Pink,1.6413852649173697
R&I,1959,CI,Pink,1.5915114153801204
R&I,1960,CI,Pink,1.4718382235821825
R&I,1961,CI,Pink,2.029644474678797
R&I,1962,CI,Pink,1.3673223291505563
R&I,1963,CI,Pink,1.7201736306327777
R&I,1964,CI,Pink,1.547075072424684
R&I,1965,CI,Pink,1.553892998938196
R&I,1966,CI,Pink,1.7277296051820925
R&I,1967,CI,Pink,1.9703735442022203
R&I,1968,CI,Pink,1.5202500657353475
R&I,1969,CI,Pink,1.881750479015027
R&I,1970,CI,Pink,1.6841944472692951
R&I,1971,CI,Pink,1.6641715795492855
R&I,1972,CI,Pink,1.9556638426556814
R&I,1973,CI,Pink,1.7827023281983
R&I,1974,CI,Pink,1.9360083474542484
R&I,1975,CI,Pink,1.911777207370373
R&I,1976,CI,Pink,1.865297362911523
R&I,1977,CI,Pink,1.8981244399871897
R&I,1978,CI,Pink,1.6457912160115284
R&I,1979,CI,Pink,1.6632297914130079
R&I,1980,CI,Pink,1.5016501170450884
R&I,1981,CI,Pink,1.814071984838234
R&I,1982,CI,Pink,1.5669831620908694
R&I,1983,CI,Pink,1.5275159369858595
R&I,1984,CI,Pink,1.668824596265364
R&I,1985,CI,Pink,1.5927169987576484
R&I,1986,CI,Pink,1.4381080942196882
R&I,1987,CI,Pink,1.579516206405595
R&I,1988,CI,Pink,1.5744139558702346
R&I,1989,CI,Pink,1.5449583015415853
R&I,1990,CI,Pink,1.3567460497143353
R&I,1991,CI,Pink,1.1502838441538088
R&I,1992,CI,Pink,1.5566129444374681
R&I,1993,CI,Pink,1.2905916224344498
R&I,1994,CI,Pink,1.418022438547648
