Source,Year,Region,Species,avg_wt
ADFG,2006,Kod,Chum,3.8150706198504434
ADFG,2007,Kod,Chum,3.526429944287974
ADFG,2008,Kod,Chum,3.816460819241549
ADFG,2009,Kod,Chum,3.5033317186520794
ADFG,2010,Kod,Chum,3.481302974678291
ADFG,2011,Kod,Chum,3.0622803379248618
ADFG,2012,Kod,Chum,3.5730122584465094
ADFG,2013,Kod,Chum,3.553827521025049
ADFG,2014,Kod,Chum,3.4451112629608724
ADFG,2015,Kod,Chum,3.197633341673332
ADFG,1985,Kod,Pink,1.655130149662739
ADFG,1986,Kod,Pink,1.6585316409047404
ADFG,1987,Kod,Pink,1.6360943574515103
ADFG,1988,Kod,Pink,1.713697885761439
ADFG,1989,Kod,Pink,1.3536589225338616
ADFG,1990,Kod,Pink,1.4411682719978502
ADFG,1991,Kod,Pink,1.323139480813402
ADFG,1992,Kod,Pink,1.6994729726300986
ADFG,1993,Kod,Pink,1.4188049061389054
ADFG,1994,Kod,Pink,1.7291282494079065
ADFG,1995,Kod,Pink,1.5920135374878508
ADFG,1996,Kod,Pink,1.5694522115442524
ADFG,1997,Kod,Pink,1.532102827206267
ADFG,1998,Kod,Pink,1.681093658392206
ADFG,1999,Kod,Pink,1.386189315488442
ADFG,2000,Kod,Pink,1.4849048547166996
ADFG,2001,Kod,Pink,1.5616162649639092
ADFG,2002,Kod,Pink,1.670728616059742
ADFG,2003,Kod,Pink,1.6103057921474973
ADFG,2004,Kod,Pink,1.651853781358576
ADFG,2005,Kod,Pink,1.5470049639018961
ADFG,2006,Kod,Pink,1.6799868570223495
ADFG,2007,Kod,Pink,1.649006108985435
ADFG,2008,Kod,Pink,1.6796597431575138
ADFG,2009,Kod,Pink,1.5024528082158588
ADFG,2010,Kod,Pink,1.6467575262502718
ADFG,2011,Kod,Pink,1.4561374783227516
ADFG,2012,Kod,Pink,1.624473907825208
ADFG,2013,Kod,Pink,1.4345221281667047
ADFG,2014,Kod,Pink,1.5902487869140967
ADFG,2015,Kod,Pink,1.50412607102849
ADFG,1985,Kod,Sockeye,2.1500696520544778
ADFG,1986,Kod,Sockeye,2.636904263391184
ADFG,1987,Kod,Sockeye,2.849382881225541
ADFG,1988,Kod,Sockeye,2.6007671929858334
ADFG,1989,Kod,Sockeye,2.506793141098814
ADFG,1990,Kod,Sockeye,2.3603638208698374
ADFG,1991,Kod,Sockeye,2.3190230554866
ADFG,1992,Kod,Sockeye,2.577643246189847
ADFG,1993,Kod,Sockeye,2.3262222532799597
ADFG,1994,Kod,Sockeye,2.2602508896067666
ADFG,1995,Kod,Sockeye,2.3174681327690823
ADFG,1996,Kod,Sockeye,2.5772102390355687
ADFG,1997,Kod,Sockeye,2.3822653675717533
ADFG,1998,Kod,Sockeye,2.1939767840269866
ADFG,1999,Kod,Sockeye,2.387065105800337
ADFG,2000,Kod,Sockeye,2.6009559375544047
ADFG,2001,Kod,Sockeye,2.5136216731610554
ADFG,2002,Kod,Sockeye,2.563355605145564
ADFG,2003,Kod,Sockeye,2.4319382750797574
ADFG,2004,Kod,Sockeye,2.4001928235580503
ADFG,2005,Kod,Sockeye,2.4948522442576926
ADFG,2006,Kod,Sockeye,2.3253470229498685
ADFG,2007,Kod,Sockeye,2.569123943505338
ADFG,2008,Kod,Sockeye,2.524664371319283
ADFG,2009,Kod,Sockeye,2.5998229535513433
ADFG,2010,Kod,Sockeye,2.433247942564057
ADFG,2011,Kod,Sockeye,2.694392372632642
ADFG,2012,Kod,Sockeye,2.5297626357510667
ADFG,2013,Kod,Sockeye,2.6191589428719206
ADFG,2014,Kod,Sockeye,2.37346528215112
ADFG,2015,Kod,Sockeye,2.2070314073221566
ADFG,1985,PWS,Chum,3.785014243081932
ADFG,1986,PWS,Chum,3.7833362456066695
ADFG,1987,PWS,Chum,3.5236928267657976
ADFG,1988,PWS,Chum,3.883296776100594
ADFG,1989,PWS,Chum,4.003092486097288
ADFG,1990,PWS,Chum,4.178568179750751
ADFG,1991,PWS,Chum,4.093255866099381
ADFG,1992,PWS,Chum,3.5276455247984306
ADFG,1993,PWS,Chum,2.8539193249969443
ADFG,1994,PWS,Chum,3.8477850215501967
ADFG,1995,PWS,Chum,3.5630318570421005
ADFG,1996,PWS,Chum,3.9253997629731323
ADFG,1997,PWS,Chum,3.9032764560592637
ADFG,1998,PWS,Chum,3.6453634183733636
ADFG,1999,PWS,Chum,3.7385631422625205
ADFG,2000,PWS,Chum,3.644762188238862
ADFG,2001,PWS,Chum,3.438610153700437
ADFG,2002,PWS,Chum,3.74226506338651
ADFG,2003,PWS,Chum,2.8928314710392797
ADFG,2004,PWS,Chum,3.409362576169523
ADFG,2005,PWS,Chum,3.569180749828649
ADFG,2006,PWS,Chum,3.952153943472162
ADFG,2007,PWS,Chum,3.1428712726329873
ADFG,2008,PWS,Chum,3.517313861825976
ADFG,2009,PWS,Chum,3.407352670990039
ADFG,2010,PWS,Chum,3.0846488187635908
ADFG,2011,PWS,Chum,3.357339287812904
ADFG,2012,PWS,Chum,3.231432666692153
ADFG,2013,PWS,Chum,3.3802396662850107
ADFG,2014,PWS,Chum,3.475769333707766
ADFG,2015,PWS,Chum,2.804116284438359
ADFG,1985,PWS,Pink,1.5933675187635654
ADFG,1986,PWS,Pink,1.3906333336659142
ADFG,1987,PWS,Pink,1.5794662473404093
ADFG,1988,PWS,Pink,1.581072310334688
ADFG,1989,PWS,Pink,1.5539365743194904
ADFG,1990,PWS,Pink,1.3507812971774056
ADFG,1991,PWS,Pink,1.1493145343892879
ADFG,1992,PWS,Pink,1.5421663897995581
ADFG,1993,PWS,Pink,1.2974195713073395
ADFG,1994,PWS,Pink,1.4148865184394608
ADFG,1995,PWS,Pink,1.617377926280674
ADFG,1996,PWS,Pink,1.6067024476970388
ADFG,1997,PWS,Pink,1.7010761067561502
ADFG,1998,PWS,Pink,1.6506377467585736
ADFG,1999,PWS,Pink,1.340090692272503
ADFG,2000,PWS,Pink,1.5503716446900244
ADFG,2001,PWS,Pink,1.537289464345477
ADFG,2002,PWS,Pink,1.5748155064255154
ADFG,2003,PWS,Pink,1.6145850501112005
ADFG,2004,PWS,Pink,1.6856612904507549
ADFG,2005,PWS,Pink,1.5629588920473207
ADFG,2006,PWS,Pink,1.634788285959935
ADFG,2007,PWS,Pink,1.5254772228001872
ADFG,2008,PWS,Pink,1.5372393025933324
ADFG,2009,PWS,Pink,1.3616338996313053
ADFG,2010,PWS,Pink,1.630271331224482
ADFG,2011,PWS,Pink,1.356236414566363
ADFG,2012,PWS,Pink,1.7837488655288178
ADFG,2013,PWS,Pink,1.2579495943193848
ADFG,2014,PWS,Pink,1.5156027086748214
ADFG,2015,PWS,Pink,1.524396066251248
ADFG,1985,PWS,Sockeye,2.7377805789799963
ADFG,1986,PWS,Sockeye,2.7748206236080524
ADFG,1987,PWS,Sockeye,3.0387719359677257
ADFG,1988,PWS,Sockeye,2.790199778746665
ADFG,1989,PWS,Sockeye,3.074381698198612
ADFG,1990,PWS,Sockeye,2.782317380186857
ADFG,1991,PWS,Sockeye,2.7116060474683836
ADFG,1992,PWS,Sockeye,2.713438382670698
ADFG,1993,PWS,Sockeye,2.5949459061018305
ADFG,1994,PWS,Sockeye,2.6046247657260513
ADFG,1995,PWS,Sockeye,2.606054360326204
ADFG,1996,PWS,Sockeye,2.8813718047245187
ADFG,1997,PWS,Sockeye,2.8695008886967384
ADFG,1998,PWS,Sockeye,2.737814269700543
ADFG,1999,PWS,Sockeye,2.7132228641625917
ADFG,2000,PWS,Sockeye,2.9537141819299495
ADFG,2001,PWS,Sockeye,2.784612026648121
ADFG,2002,PWS,Sockeye,2.8964781065758034
ADFG,2003,PWS,Sockeye,2.7679293521258828
ADFG,2004,PWS,Sockeye,2.630903158478752
ADFG,2005,PWS,Sockeye,2.6775782631585034
ADFG,2006,PWS,Sockeye,2.536315097518282
ADFG,2007,PWS,Sockeye,2.891577190160194
ADFG,2008,PWS,Sockeye,2.812872778700117
ADFG,2009,PWS,Sockeye,2.838923814014803
ADFG,2010,PWS,Sockeye,2.7927373329213006
ADFG,2011,PWS,Sockeye,2.8035122460232293
ADFG,2012,PWS,Sockeye,3.074957394450781
ADFG,2013,PWS,Sockeye,2.792493691700973
ADFG,2014,PWS,Sockeye,2.727236973983514
ADFG,2015,PWS,Sockeye,2.480301506071497
ADFG,1985,SEAK,Chum,4.092523181017868
ADFG,1986,SEAK,Chum,4.004955654838015
ADFG,1987,SEAK,Chum,4.018655498988854
ADFG,1988,SEAK,Chum,4.091222012482202
ADFG,1989,SEAK,Chum,4.351309621157099
ADFG,1990,SEAK,Chum,0.002919556111845015
ADFG,1991,SEAK,Chum,3.604606896435956
ADFG,1992,SEAK,Chum,3.6307860909973937
ADFG,1993,SEAK,Chum,3.196173287122757
ADFG,1994,SEAK,Chum,3.458454575436916
ADFG,1995,SEAK,Chum,3.6827338855605625
ADFG,1996,SEAK,Chum,3.803597494840155
ADFG,1997,SEAK,Chum,4.078767753947086
ADFG,1998,SEAK,Chum,4.0122151333983425
ADFG,1999,SEAK,Chum,4.274104255514659
ADFG,2000,SEAK,Chum,4.248222758943909
ADFG,2001,SEAK,Chum,4.030246432557207
ADFG,2002,SEAK,Chum,4.247069117440131
ADFG,2003,SEAK,Chum,3.2605101396253713
ADFG,2004,SEAK,Chum,3.6762651876673376
ADFG,2005,SEAK,Chum,4.0228236974389855
ADFG,2006,SEAK,Chum,4.234442424154048
ADFG,2007,SEAK,Chum,3.731528504578283
ADFG,2008,SEAK,Chum,3.9128572286552075
ADFG,2009,SEAK,Chum,3.34737225795681
ADFG,2010,SEAK,Chum,3.7948665772146986
ADFG,2011,SEAK,Chum,3.4725425632600664
ADFG,2012,SEAK,Chum,4.139929128855765
ADFG,2013,SEAK,Chum,3.548903940134824
ADFG,2014,SEAK,Chum,4.124994266158744
ADFG,2015,SEAK,Chum,3.7184694465495562
ADFG,1985,SEAK,Pink,1.4448035223554982
ADFG,1986,SEAK,Pink,1.5090418867581517
ADFG,1987,SEAK,Pink,1.6775614853164589
ADFG,1988,SEAK,Pink,1.482638512765319
ADFG,1989,SEAK,Pink,1.5592556924166572
ADFG,1990,SEAK,Pink,0.02305573775739325
ADFG,1991,SEAK,Pink,1.228481793506314
ADFG,1992,SEAK,Pink,1.4975017516940194
ADFG,1993,SEAK,Pink,1.3495184500347734
ADFG,1994,SEAK,Pink,1.3698831688455655
ADFG,1995,SEAK,Pink,1.4443502378563462
ADFG,1996,SEAK,Pink,1.3605737374923954
ADFG,1997,SEAK,Pink,1.7445856501402717
ADFG,1998,SEAK,Pink,1.5719164944062363
ADFG,1999,SEAK,Pink,1.3300900762308392
ADFG,2000,SEAK,Pink,1.5466352155466045
ADFG,2001,SEAK,Pink,1.4915234476344088
ADFG,2002,SEAK,Pink,1.5074917704784276
ADFG,2003,SEAK,Pink,1.594043274581557
ADFG,2004,SEAK,Pink,1.645492913640947
ADFG,2005,SEAK,Pink,1.5878710711905775
ADFG,2006,SEAK,Pink,1.8227937822638116
ADFG,2007,SEAK,Pink,1.631776894146583
ADFG,2008,SEAK,Pink,1.6699032092133195
ADFG,2009,SEAK,Pink,1.433694220925566
ADFG,2010,SEAK,Pink,1.9251016199848427
ADFG,2011,SEAK,Pink,1.6838308773235875
ADFG,2012,SEAK,Pink,1.621391188011981
ADFG,2013,SEAK,Pink,1.4595280149204526
ADFG,2014,SEAK,Pink,1.6031921510649654
ADFG,2015,SEAK,Pink,1.6520609630259657
ADFG,1985,SEAK,Sockeye,2.804372111291276
ADFG,1986,SEAK,Sockeye,2.9101154274752874
ADFG,1987,SEAK,Sockeye,3.0302449632253934
ADFG,1988,SEAK,Sockeye,2.7489165780505456
ADFG,1989,SEAK,Sockeye,2.9215074278603828
ADFG,1990,SEAK,Sockeye,0.01607031431725625
ADFG,1991,SEAK,Sockeye,2.7052629283504195
ADFG,1992,SEAK,Sockeye,2.749857299407221
ADFG,1993,SEAK,Sockeye,2.659547596961416
ADFG,1994,SEAK,Sockeye,2.7049027184659993
ADFG,1995,SEAK,Sockeye,2.625788782124299
ADFG,1996,SEAK,Sockeye,2.9038147785165482
ADFG,1997,SEAK,Sockeye,2.8240862583131645
ADFG,1998,SEAK,Sockeye,2.7419809852867187
ADFG,1999,SEAK,Sockeye,2.6763502278738383
ADFG,2000,SEAK,Sockeye,2.7508988562968746
ADFG,2001,SEAK,Sockeye,2.8185698478140013
ADFG,2002,SEAK,Sockeye,2.854893129988703
ADFG,2003,SEAK,Sockeye,2.7671507503822053
ADFG,2004,SEAK,Sockeye,2.6833560463709114
ADFG,2005,SEAK,Sockeye,2.566227255906234
ADFG,2006,SEAK,Sockeye,2.5848596471230505
ADFG,2007,SEAK,Sockeye,2.9038976229550366
ADFG,2008,SEAK,Sockeye,2.881146545282855
ADFG,2009,SEAK,Sockeye,2.7068244200101756
ADFG,2010,SEAK,Sockeye,2.679401214549066
ADFG,2011,SEAK,Sockeye,2.756843250761434
ADFG,2012,SEAK,Sockeye,2.8415174615553442
ADFG,2013,SEAK,Sockeye,2.7332839502119644
ADFG,2014,SEAK,Sockeye,2.64933200078803
ADFG,2015,SEAK,Sockeye,2.5139163436417844
ADFG,1985,SPen,Chum,3.067710463708075
ADFG,1986,SPen,Chum,3.279919804432456
ADFG,1987,SPen,Chum,3.2290832306599215
ADFG,1988,SPen,Chum,3.4291328053993
ADFG,1989,SPen,Chum,3.0902089159566404
ADFG,1990,SPen,Chum,2.9690592984245487
ADFG,1991,SPen,Chum,2.9112972398313057
ADFG,1992,SPen,Chum,3.078143774251175
ADFG,1993,SPen,Chum,2.8275687094925153
ADFG,1994,SPen,Chum,3.061038995930734
ADFG,1995,SPen,Chum,3.208528996930225
ADFG,1996,SPen,Chum,3.285605215759563
ADFG,1997,SPen,Chum,3.198618192858537
ADFG,1998,SPen,Chum,3.2174989177285473
ADFG,1999,SPen,Chum,3.1366870379869205
ADFG,2000,SPen,Chum,3.529913018583542
ADFG,2001,SPen,Chum,3.498747234469327
ADFG,2002,SPen,Chum,3.309381629965616
ADFG,2003,SPen,Chum,3.099744819668777
ADFG,2004,SPen,Chum,2.9698490250451166
ADFG,2005,SPen,Chum,2.993218015187919
ADFG,2006,SPen,Chum,3.396728504669902
ADFG,2007,SPen,Chum,3.2736147347414812
ADFG,2008,SPen,Chum,3.3271256508540117
ADFG,2009,SPen,Chum,3.1781696318422723
ADFG,2010,SPen,Chum,3.3287026536629623
ADFG,2011,SPen,Chum,3.0386324868462147
ADFG,2012,SPen,Chum,3.4466002960686155
ADFG,2013,SPen,Chum,3.29672264514329
ADFG,2014,SPen,Chum,3.102646118057575
ADFG,2015,SPen,Chum,2.852065037778281
ADFG,1985,SPen,Pink,1.8435906170662475
ADFG,1986,SPen,Pink,1.5537001144783966
ADFG,1987,SPen,Pink,1.5971212047293708
ADFG,1988,SPen,Pink,1.619300689913536
ADFG,1989,SPen,Pink,1.7019126082424798
ADFG,1990,SPen,Pink,1.401577693777753
ADFG,1991,SPen,Pink,1.413368715262971
ADFG,1992,SPen,Pink,1.5421725664775685
ADFG,1993,SPen,Pink,1.5141946380265372
ADFG,1994,SPen,Pink,1.5293110458982266
ADFG,1995,SPen,Pink,1.6314566079148873
ADFG,1996,SPen,Pink,1.4623059362731168
ADFG,1997,SPen,Pink,1.4352003062731025
ADFG,1998,SPen,Pink,1.5859628559184116
ADFG,1999,SPen,Pink,1.3724965780740712
