Year,Species,Number,Whole_Wt_ metric_tons,Region,Management Area,RI_Area
2006,Pink,1876646,3167.99,Central,H,CI
1994,Pink,2171602,3168.5,Central,H,CI
2013,Chum,762569,3173.02,Southeastern,C,SEAK
2014,Coho,1007583,3177.76,Southeastern,B,SEAK
1991,Coho,885595,3180.57,Southeastern,A,SEAK
1996,Coho,943608,3231.27,Southeastern,A,SEAK
1989,Sockeye,1289536,3232.6,Westward,K,Kod
2001,Chum,933691,3232.94,Westward,M,SPen
1987,Sockeye,1209510,3245.79,Westward,M,WAK
1991,Chum,1029071,3258.82,Westward,K,Kod
2010,Sockeye,1287807,3259.8,Westward,M,SPen
2003,Sockeye,1100297,3261.19,Westward,L,SPen
1996,Pink,2207503,3261.3,Westward,M,SPen
2015,Chum,804051,3267.08,Southeastern,C,SEAK
1993,Coho,1167992,3274.94,Southeastern,A,SEAK
1997,Pink,2321371,3280.61,Westward,M,SPen
1999,Chum,913867,3281.58,Westward,K,Kod
1995,Chum,851077,3283.28,Southeastern,C,SEAK
1987,Chum,765797,3285.8,Southeastern,A,SEAK
2002,Sockeye,1050553,3286.18,Westward,L,SPen
2008,Pink,1902139,3290.47,Southeastern,D,SEAK
2013,Chum,1138233,3295.44,Central,T,WAK
2001,Coho,1160916,3320.81,Southeastern,D,SEAK
1995,Pink,2057998,3334.08,Westward,L,SPen
2009,Chum,955813,3348.53,Westward,K,Kod
2007,Pink,2019748,3351.15,Westward,L,SPen
1985,Coho,855866,3381.6,Southeastern,A,SEAK
1993,Chum,1186365,3385.79,Central,E,PWS
2005,Sockeye,1152133,3411.6,Westward,L,SPen
2002,Sockeye,1418241,3462.83,Westward,M,WAK
2008,Chum,908035,3465.48,Westward,K,Kod
2007,Chum,865588,3480.04,Southeastern,C,SEAK
1988,Chum,790356,3489.47,Southeastern,A,SEAK
1992,Coho,1123467,3494.88,Southeastern,D,SEAK
2010,Sockeye,1439656,3503.04,Westward,K,Kod
1986,Sockeye,1223089,3541.1,Westward,M,SPen
2008,Chum,1259761,3554.14,Central,T,WAK
2005,Chum,830327,3554.8,Southeastern,C,SEAK
1993,Chum,1123664,3558.11,Southeastern,A,SEAK
1989,Chum,1258808,3570.23,Central,T,WAK
1986,Sockeye,1288213,3574.56,Central,E,PWS
1991,Pink,3119362,3584.93,Southeastern,D,SEAK
2002,Pink,2170809,3589.76,Westward,M,SPen
1991,Chum,1289749,3597.76,Central,T,WAK
1989,Sockeye,1175316,3613.37,Central,E,PWS
1989,Sockeye,1159287,3614.8,Westward,L,SPen
1986,Chum,1227135,3618.92,Central,T,WAK
1998,Sockeye,1512583,3630.76,Central,H,CI
2005,Pink,2355670,3637.54,Central,H,CI
2008,Sockeye,1301040,3659.66,Central,E,PWS
1994,Sockeye,1383835,3678.62,Southeastern,B,SEAK
1990,Chum,1237945,3680.22,Westward,M,SPen
2004,Coho,1105140,3680.37,Southeastern,D,SEAK
1994,Coho,1167769,3680.41,Southeastern,B,SEAK
2006,Sockeye,1585630,3687.14,Westward,K,Kod
2008,Pink,2389958,3715.99,Westward,L,SPen
2000,Chum,1066653,3723.3,Westward,M,SPen
2003,Chum,1151885,3742.48,Westward,K,Kod
2009,Sockeye,1198105,3747.8,Westward,L,SPen
2009,Chum,1325250,3759.44,Central,T,WAK
2013,Coho,1303821,3768.33,Southeastern,D,SEAK
1995,Coho,1171124,3773.72,Southeastern,D,SEAK
1998,Coho,1142173,3777.05,Southeastern,D,SEAK
1999,Coho,1469487,3784.18,Southeastern,D,SEAK
2014,Sockeye,1429447,3784.23,Westward,M,SPen
1992,Sockeye,1277449,3797.88,Westward,L,SPen
2002,Pink,2441407,3830.12,Central,H,CI
1986,Chum,1134397,3833.09,Westward,K,Kod
1989,Pink,2393624,3838.86,Southeastern,D,SEAK
1995,Coho,1024283,3859.01,Southeastern,A,SEAK
1988,Chum,1036520,3863.17,Central,H,CI
2015,Sockeye,1552495,3873.19,Westward,L,SPen
2004,Chum,1121873,3899.15,Westward,K,Kod
2001,Chum,1053763,3900.31,Westward,K,Kod
1994,Sockeye,1515320,3946.84,Central,E,PWS
2011,Chum,1202911,3959.44,Southeastern,D,SEAK
1995,Pink,2982154,3959.96,Central,H,CI
1985,Sockeye,1842731,3962,Westward,K,Kod
1995,Sockeye,1523464,3970.23,Central,E,PWS
1985,Sockeye,1450171,3970.25,Central,E,PWS
2003,Sockeye,1483638,3977.32,Westward,M,WAK
1996,Coho,1101633,3982.38,A-Y-K,W,WAK
1989,Chum,1001783,4010.23,Central,E,PWS
1992,Chum,1316709,4014.51,Westward,M,SPen
1990,Pink,2865864,4027.55,Westward,M,SPen
1988,Sockeye,1473651,4034.12,Westward,M,SPen
2006,Chum,1186362,4034.66,Westward,M,SPen
1997,Pink,2885557,4034.95,Central,H,CI
1990,Chum,967384,4042.28,Central,E,PWS
1994,Chum,1058227,4071.83,Central,E,PWS
1992,Sockeye,1533023,4073.66,Southeastern,B,SEAK
2010,Sockeye,1379785,4073.68,Westward,L,SPen
1995,Coho,965017,4096.83,Central,E,PWS
1989,Chum,1253450,4103.2,A-Y-K,Y,WAK
1999,Sockeye,1783804,4107.65,Westward,M,WAK
2006,Chum,1082132,4128.41,Westward,K,Kod
2005,Chum,1397086,4131.15,Central,T,WAK
1985,Chum,1348726,4141.56,Westward,M,SPen
2002,Coho,1186528,4155.76,Southeastern,D,SEAK
